level,notation,prefLabel,scopeNote
2,11.31,"Teksten, vertalingen van de bijbel",Toelichting: teksten en vertalingen van Oude en Nieuwe Testament en van afzonderlijke bijbelboeken
2,11.32,Geschiedenis van tekst en vertaling van de bijbel,Toelichting: geschiedenis van tekst en vertaling van het Oude en Nieuwe Testament en van afzonderlijke bijbelboeken
2,11.33,Onderzoek en interpretatie van de bijbel,"Hierbij: geschiedenis van bijbelgebruik en exegese; Hierbij: literaire en historische kritiek, exegese, hermeneutiek, commentaren op de bijbel in het algemeen"
2,11.35,"Bijbelse oudheden, bijbelse archeologie en geografie",Toelichting: ook voor Oude en Nieuwe Testament afzonderlijk
2,11.36,Bijbelse theologie,Toelichting: alleen voor de theologie van de bijbel als geheel
2,11.37,"Apocriefen, pseudepigrafen","Toelichting: de deuterocanonieke boeken worden niet hier geplaatst, maar op dezelfde wijze behandeld als de boeken van het Oude Testament"
2,11.40,Oude Testament: algemeen,"Hierbij: geschiedenis van de canon van het Oude Testament; Verwijzing: voor geschiedenis van tekst en vertaling van het Oude Testament, zie: 11.32 (geschiedenis van tekst en vertaling van de bijbel); Verwijzing: voor teksten en vertalingen van het Oude Testament, zie: 11.31 (teksten, vertalingen van de bijbel)"
3,11.41,Onderzoek en interpretatie van het Oude Testament,"Hierbij: literaire en historische kritiek, exegese, hermeneutiek, commentaren op (afzonderlijke boeken of gedeelten van) het Oude Testament"
3,11.42,Geschiedenis van het oudtestamentische tijdvak,
3,11.43,Oude Testament in relatie tot andere culturen,
2,11.45,Nieuwe Testament: algemeen,"Hierbij: geschiedenis van de canon van het Nieuwe Testament; Verwijzing: voor geschiedenis van tekst en vertaling van het Nieuwe Testament, zie: 11.32 (geschiedenis van tekst en vertaling van de bijbel); Verwijzing: voor teksten en vertalingen van het Nieuwe Testament, zie: 11.31 (teksten, vertalingen van de bijbel)"
3,11.46,Onderzoek en interpretatie van het Nieuwe Testament,"Hierbij: literaire en historische kritiek, exegese, hermeneutiek, commentaren op (afzonderlijke boeken of gedeelten van) het Nieuwe Testament"
3,11.47,Cultuurhistorische achtergronden van het Nieuwe Testament,
2,11.49,Bijbel: overige,"Verwijzing: voor bijbelse geografie, zie 11.35 (bijbelse oudheden, bijbelse archeologie en geografie)"
1,11.50,"Kerkgeschiedenis, dogmengeschiedenis: algemeen","Hierbij: zendingsgeschiedenis in het algemeen; Toelichting: beperkt tot het christendom; Verwijzing: voor dogmatische teksten van na 1500, zie: 11.61 (systematische theologie)"
2,11.51,Vroege christendom,
2,11.52,Middeleeuws christendom,
2,11.53,Oosters christendom,Toelichting: na 451 (concilie van Chalcedon)
2,11.54,Rooms-katholicisme,Toelichting: vanaf de 16e eeuw
2,11.55,Protestantisme,Hierbij: anglicanisme
2,11.59,"Kerkgeschiedenis, dogmengeschiedenis: overige",Hierbij: publicaties over bijzondere onderwerpen die meerdere tijden en denominaties bestrijken
1,11.60,Christelijke leer: algemeen,"Hierbij: christendom in het algemeen, geloofsbelijdenissen, catechismussen"
2,11.61,Systematische theologie,"Hierbij: dogmatiek; Verwijzing: voor dogmatische teksten van voor 1500, zie: 11.50-11.59 (kerkgeschiedenis, dogmengeschiedenis)"
2,11.62,Christelijke ethiek,
2,11.63,Spiritualiteit en mystiek,"Hierbij: monnikenwezen, kloosterleven; Hierbij: stichtelijke literatuur; Verwijzing: voor de geschiedenis van spiritualiteit en mystiek, zie: 11.50-11.59 (kerkgeschiedenis, dogmengeschiedenis); Verwijzing: voor de spirituele en mystieke teksten van vóór 1500, zie: 11.50-11.59 (kerkgeschiedenis, dogmengeschiedenis); Verwijzing: voor preken, zie: 11.75 (homiletiek)"
2,11.66,Oecumene,"Verwijzing: voor de geschiedenis van de oecumene, zie: 11.59 (kerkgeschiedenis, dogmengeschiedenis: overige)"
2,11.69,Christelijke leer: overige,Hierbij: feministische theologie
1,11.70,Praktische theologie: algemeen,
2,11.71,Pastorale psychologie,
2,11.72,Kerkelijke sociologie,
2,11.73,"Kerkorganisatie, kerkrecht","Hierbij: canoniek recht, geschiedenis en historische teksten m.b.t. kerkorganisatie en kerkrecht"
2,11.74,Liturgie,Hierbij: geschiedenis en historische teksten m.b.t. de liturgie; liederenbundels 
2,11.75,Homiletiek,Hierbij: preken en prekenbundels; geschiedenis en historische teksten 
2,11.76,Pastoraat,
2,11.77,Godsdienstige opvoeding,Hierbij: catechese; geschiedenis en historische teksten 
2,11.78,Missiologie,"Verwijzing: voor geschiedenis van missie en zending, zie: 11.50-11.59 (kerkgeschiedenis, dogmengeschiedenis)"
2,11.79,Praktische theologie: overige,"Hierbij: apostolaat; Hierbij: diakonaat, gemeenteleven"
1,11.80,Islam: algemeen,
2,11.81,Koran,
2,11.82,Traditieliteratuur,Hierbij: Mohammed
2,11.83,Stromingen binnen de islam,
2,11.84,Islam: overige,
1,11.86,Godsdiensten van China,"Hierbij: taoïsme, confucianisme; Hierbij: deze godsdiensten buiten China"
1,11.87,Godsdiensten van Japan,Hierbij: shintoïsme; Hierbij: deze godsdienst buiten Japan;  Hierbij: shintoïsme
1,11.90,Indische godsdiensten: algemeen,
2,11.91,"Brahmanisme, vedisme",
2,11.92,Hindoeïsme,Hierbij: hindoeïsme buiten India
2,11.93,Boeddhisme,Hierbij: boeddhisme buiten India
2,11.94,Indische godsdiensten: overige,
