level,notation,prefLabel@de,prefLabel@en
3,205-01,Epidemiologie und Medizinische Biometrie/Statistik,Epidemiology and Medical Biometry/Statistics
3,205-02,"Public Health, medizinische Versorgungsforschung, Sozialmedizin","Public Health, Health Services Research, Social Medicine"
3,205-03,Humangenetik,Human Genetics
3,205-04,Physiologie,Physiology
3,205-05,Ernährungswissenschaften,Nutritional Sciences
3,205-06,Pathologie,Pathology
3,205-07,Medizininformatik und medizinische Bioinformatik,Medical Informatics and Medical Bioinformatics
3,205-08,Pharmazie,Pharmacy
3,205-09,Pharmakologie,Pharmacology
3,205-10,"Toxikologie, Arbeitsmedizin, Klinische Chemie","Toxicology, Occupational Medicine, Clinical Chemistry"
3,205-11,Anästhesiologie,Anaesthesiology
3,205-12,"Kardiologie, Angiologie","Cardiology, Angiology"
3,205-13,"Pneumologie, Thoraxchirurgie","Pneumology, Thoracic Surgery"
3,205-14,"Hämatologie, Onkologie","Hematology, Oncology"
3,205-15,Gastroenterologie,Gastroenterology
3,205-16,Nephrologie,Nephrology
3,205-17,"Endokrinologie, Diabetologie, Metabolismus","Endocrinology, Diabetology, Metabolism"
3,205-18,Rheumatologie,Rheumatology
3,205-19,Dermatologie,Dermatology
3,205-20,Kinder- und Jugendmedizin,Pediatric and Adolescent Medicine
3,205-21,Gynäkologie und Geburtshilfe,Gynaecology and Obstetrics
3,205-22,Klinische Immunologie und Allergologie,Clinical Immunology and Allergology
3,205-23,"Reproduktionsmedizin, Urologie","Reproductive Medicine, Urology"
3,205-24,Gerontobiologie und Geriatrie,Biogerontology and Geriatric Medicine
3,205-25,Allgemein- und Viszeralchirurgie,General and Visceral Surgery
3,205-26,"Herz- und Gefäßchirurgie",Cardiac and Vascular Sugery
3,205-27,"Orthopädie, Unfallchirurgie, rekonstruktive Chirurgie","Orthopaedics, Traumatology, Reconstructive Surgery"
3,205-28,"Zahnheilkunde; Mund-, Kiefer- und Gesichtschirurgie","Dentistry, Oral Surgery"
3,205-29,Hals-Nasen-Ohrenheilkunde,Otolaryngology
3,205-30,"Radiologie, Nuklearmedizin, Strahlentherapie, Strahlenbiologie","Radiology, Nuclear Medicine, Radiotherapy, Radiobiology"
3,205-31,Klinische Infektiologie und Tropenmedizin,Clinical Infectiology and Tropical Medicine
3,205-32,"Medizinische Physik, Biomedizinische Technik","Medical Physics, Biomedical Technology"
3,205-33,Anatomie,Anatomy
3,206-01,Entwicklungsneurobiologie,Developmental Neurobiology
3,206-02,Molekulare Biologie und Physiologie von Nerven- und Gliazellen,Molecular Biology and Physiology of Neurons and Glial Cells
3,206-03,Experimentelle und theoretische Netzwerk-Neurowissenschaften,Experimental and Theoretical Network Neuroscience
3,206-04,"Kognitive, systemische und Verhaltensneurobiologie","Cognitive, Systems and Behavioural Neurobiology"
3,206-05,Experimentelle Modelle zum Verständnis von Erkrankungen des Nervensystems,Experimental Models for the Understanding of Nervous System Diseases
3,206-06,Molekulare und zelluläre Neurologie und Neuropathologie,Molecular and Cellular Neurology and Neuropathology
3,206-07,Klinische Neurologie; Neurochirurgie und Neuroradiologie,Clinical Neurosciences; Neurosurgery und Neuroradiology
3,206-08,Kognitive und systemische Humanneurowissenschaften,Human Cognitive and Systems Neuroscience
3,206-09,Biologische Psychiatrie,Biological Psychiatry
3,206-10,"Klinische Psychiatrie, Psychotherapie und Kinder- und Jugendpsychiatrie","Clinical Psychiatry, Psychotherapy, Child and Adolescent Psychiatry"
3,206-11,Augenheilkunde,Ophthalmology
3,207-01,Bodenwissenschaften,Soil Sciences
3,207-02,"Pflanzenzüchtung, Pflanzenpathologie",Plant Breeding and Plant Pathology
3,207-03,"Pflanzenbau, Pflanzenernährung, Agrartechnik","Plant Cultivation, Plant Nutrition, Agricultural Technology"
3,207-04,"Ökologie der Landnutzung",Ecology of Land Use
3,207-05,"Agrarökonomie, Agrarpolitik, Agrarsoziologie","Agricultural Economics, Agricultural Policy, Agricultural Sociology"
3,207-06,Forstwissenschaften,Forestry
3,207-07,"Tierzucht, Tierernährung, Tierhaltung","Animal Breeding, Animal Nutrition, Animal Husbandry"
